day,tranche,accts,balance,past_due_amt,amount_owed_to_dt,total_payments_amt
2022-05-26,15-29,28,32274.914302147,2111.95,1908.1,0
2022-05-26,30-44,4,7791.5609898178,707.61,707.61,0
2022-05-26,8-14,22,28301.0896532941,1162.95,1055.86,53.72
2022-05-26,Current,4742,6846913.902153878,811.72,9038.4,16087.44
2022-05-27,1-7,70,89518.7228129595,3147.83,3174.63,634.46
2022-05-27,15-29,29,36452.7378621128,2456.86,2052.47,0
2022-05-27,30-44,6,9266.6864203928,854.98,839.79,0
2022-05-27,8-14,25,31559.6866683075,1497.78,1257.42,53.72
2022-05-27,Current,4757,6823503.10203293,2238.74,9692.1,19399.42
2022-05-28,1-7,90,118211.5780007708,3559.52,2445.94,956.96
2022-05-28,15-29,35,45083.0048997661,2904.22,2334.82,6.83
2022-05-28,30-44,8,11304.8655611674,1068,969.67,0
2022-05-28,8-14,47,57426.7236512208,2147.73,2018.84,108.85
2022-05-28,Current,4680,6692568.079385895,745.17,9247.14,19064.83
2022-05-29,1-7,90,115444.5238414838,3508.34,2193.82,746.86
2022-05-29,15-29,28,37743.37949655,2266.4,1862.46,6.83
2022-05-29,30-44,15,18698.269864939,1705.82,1442.03,0
2022-05-29,8-14,47,57482.15209673,2147.73,2018.84,108.85
2022-05-29,Current,4663,6636695.789745326,1142.82,9499.26,19706.46
2022-05-30,1-7,93,120254.1697602202,3708.19,2321.21,998.98
2022-05-30,15-29,27,36960.6827074558,2232.2,1810.1,6.83
2022-05-30,30-44,14,17754.1193523374,1599.49,1350.89,0
2022-05-30,45-59,1,961.8100562216,106.33,91.14,0
2022-05-30,8-14,50,60111.1360442165,2433.05,2195.93,108.85
2022-05-30,Current,4641,6584467.765927053,1293.8,9247.14,19787.64
2022-05-31,1-7,88,118153.2032300621,3612.19,2427.46,940.47
2022-05-31,15-29,30,40324.1369224243,2502.16,2099.37,6.83
2022-05-31,30-44,14,17770.8767794916,1599.49,1394.19,0
2022-05-31,45-59,1,962.7121726874,106.33,91.14,0
2022-05-31,8-14,48,57487.7044689277,2355.39,2229.83,84.04
2022-05-31,Current,4704,6646114.605635611,990.64,10527.33,20813.68
2022-06-01,1-7,91,120207.8731419235,3526.04,3617.27,997.07
2022-06-01,15-29,33,42768.7563671445,2682.55,2461.87,6.83
2022-06-01,30-44,15,18356.7075841801,1662.49,1595.97,0
2022-06-01,45-59,1,963.6142891532,106.33,106.33,0
2022-06-01,8-14,54,67420.604274481,2750.82,2816.79,119.94
2022-06-01,Current,4764,6707633.356243816,1085.66,14084.92,23298.65
2022-06-02,1-7,93,120940.7882086312,3360.94,3698.73,764.54
2022-06-02,15-29,36,47896.2873674538,3044.68,2868.23,35.77
2022-06-02,30-44,16,19078.4990450908,1809.56,1721.41,0
2022-06-02,45-59,1,964.516405619,106.33,106.33,0
2022-06-02,8-14,55,72461.8128394819,2890.51,2981.74,301.54
2022-06-02,Current,4850,6792477.043074006,2478.73,15883.64,25478.95
2022-06-03,1-7,109,145781.0501677235,5079.55,3950.01,733.91
2022-06-03,15-29,39,51583.8864801534,3442.17,3023.23,35.77
2022-06-03,30-44,17,19918.3827412339,2039.92,1808.47,0
2022-06-03,45-59,1,965.4185220848,121.52,106.33,0
2022-06-03,8-14,54,66834.1820409542,3042.96,2938.74,430.54
2022-06-03,Current,4877,6795139.555502231,3804.29,17041.72,32843.38
2022-06-04,1-7,141,181984.0749618373,5840.64,2924.17,983.64
2022-06-04,15-29,63,76959.8627996318,4737.35,3972.89,137.43
2022-06-04,30-44,18,23052.4874861424,2329.36,2008.15,0
2022-06-04,45-59,1,966.3206385506,121.52,106.33,0
2022-06-04,8-14,76,97768.7315532761,3459.07,3703.63,641.77
2022-06-04,Current,4791,6661802.625959824,1148.23,16153.33,32659.72
2022-06-05,1-7,138,175086.2732600376,5621.8,2441.42,731.52
2022-06-05,15-29,58,69046.4218490308,4206.03,3554.19,137.43
2022-06-05,30-44,21,26062.9498011941,2516.8,2140.96,0
2022-06-05,45-59,2,2773.8028769382,353.48,280.3,0
2022-06-05,8-14,79,103239.6104861313,3647.68,3892.24,641.77
2022-06-05,Current,4771,6612666.693430052,1433.95,16559.39,33603.71
2022-06-06,1-7,128,168856.5680188083,5314.56,3818.19,1128.64
2022-06-06,15-29,58,67677.3934803087,4162.6,3675.63,137.43
2022-06-06,30-44,20,23510.8046934279,2192.4,1969.22,0
2022-06-06,45-59,3,5353.0861603933,677.88,581.59,0
2022-06-06,8-14,87,112830.7165394305,4383.74,4542.92,626.69
2022-06-06,Current,4851,6676104.45954189,1455.02,17640.82,34136.13
2022-06-07,1-7,133,164971.4169578364,4875.1,5628.66,1385.55
2022-06-07,15-29,65,77688.5204691999,5001.83,4915.58,137.43
2022-06-07,30-44,19,21011.5727686763,1913.52,1913.52,0
2022-06-07,45-59,4,7879.4562608338,956.76,916.92,0
2022-06-07,8-14,87,117848.1961576701,4386.05,4848.6,635.88
2022-06-07,Current,4962,6776498.796492328,1570.18,25780.08,35599.57
2022-06-08,1-7,146,180234.2104987983,5411.74,6341.65,1558.5
2022-06-08,15-29,65,83393.7339131489,5333.61,5118.2,137.43
2022-06-08,30-44,21,24493.1143709667,2254.35,2245.83,0
2022-06-08,45-59,4,7886.7808667518,956.76,956.76,0
2022-06-08,8-14,88,112975.494776985,4270.86,4709.47,680.79
2022-06-08,Current,5057,6886927.591100721,1691.46,26910.06,36726.27
2022-06-09,1-7,155,195517.9219967221,5928.82,7043.44,2133.5
2022-06-09,15-29,69,91913.7568075612,6017.2,5773.86,327.34
2022-06-09,30-44,25,28590.5829097037,2688.56,2586.82,0
2022-06-09,45-59,4,7894.1054726698,956.76,956.76,0
2022-06-09,8-14,89,113039.7860969201,4213.91,4236.72,470.01
2022-06-09,Current,5171,7026297.074803478,2879.67,27332.15,38657.44
2022-06-10,1-7,154,195127.7436463118,6517.91,6624.47,2309.16
2022-06-10,15-29,72,95226.4149620871,6480.05,5998.73,407.24
2022-06-10,30-44,28,33257.6928967941,3409.56,2997.92,0
2022-06-10,45-59,4,7901.4300785878,971.95,956.76,0
2022-06-10,8-14,92,117382.3782091404,5686.92,4667.13,288.49
2022-06-10,Current,5225,7041081.627754547,4865.05,28955.06,47702.5
2022-06-11,1-7,177,219800.2012335018,6966.18,5209.35,2932.31
2022-06-11,15-29,106,133875.9730680514,8621.13,7216.48,511.06
